What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
40-44,Male,India,Doctoral degree,Research Scientist,Mid-Large,3-4,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
22-24,Male,Turkey,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$1-$99,Local development environments,3-5 years,Python,Never,2-3 years
40-44,Male,India,Master’s degree,Data Engineer,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"2,000-2,999","$1000-$9,999",Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
35-39,Male,India,Master’s degree,Data Analyst,Large,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","$1000-$9,999",Business intelligence software,10-20 years,Python,Never,< 1 years
25-29,Male,India,Bachelor’s degree,Business Analyst,Mid-Large,0,No (we do not use ML methods),"15,000-19,999",$0 (USD),Local development environments,3-5 years,SQL,Never,< 1 years
30-34,Male,Russia,Doctoral degree,Product/Project Manager,Enterprise,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$100-$999,Local development environments,5-10 years,Python,Never,4-5 years
40-44,Male,"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,Mid-Large,1-2,No (we do not use ML methods),"4,000-4,999",$0 (USD),Advanced statistical software,3-5 years,Python,Never,10-15 years
35-39,Male,Spain,Master’s degree,Data Analyst,Mid-Large,0,No (we do not use ML methods),"40,000-49,999",$100-$999,Basic statistical software,1-2 years,R,Never,1-2 years
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,2-3 years
22-24,Male,Greece,Master’s degree,Data Scientist,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
22-24,Male,Pakistan,Bachelor’s degree,Data Analyst,Medium,20+,We are exploring ML methods (and may one day put a model into production),"1,000-1,999","$1000-$9,999",Business intelligence software,1-2 years,Python,Never,< 1 years
40-44,Male,Austria,Doctoral degree,Data Scientist,Medium,3-4,No (we do not use ML methods),"150,000-199,999","$1000-$9,999",Basic statistical software,5-10 years,Python,Used TPU,4-5 years
35-39,Male,Spain,Doctoral degree,Data Scientist,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,10-15 years
35-39,Male,Nigeria,Bachelor’s degree,Other,Small,0,No (we do not use ML methods),"30,000-39,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
25-29,Male,Sweden,Bachelor’s degree,Data Scientist,Mid-Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",$100-$999,Cloud-based data software & APIs,3-5 years,SQL,Used TPU,4-5 years
35-39,Male,Netherlands,Master’s degree,Other,Small,1-2,We are exploring ML methods (and may one day put a model into production),"100,000-124,999","$1000-$9,999",Local development environments,20+ years,Python,Never,3-4 years
60-69,Male,Italy,Master’s degree,Other,Large,1-2,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","$10,000-$99,999",Basic statistical software,1-2 years,Python,Never,2-3 years
25-29,Male,Russia,Master’s degree,Data Analyst,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$0 (USD),Local development environments,3-5 years,Other,Never,4-5 years
30-34,Male,Austria,Doctoral degree,Data Scientist,Large,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","$10,000-$99,999",Local development environments,5-10 years,Python,Used TPU,4-5 years
30-34,Male,Romania,Doctoral degree,Software Engineer,Mid-Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","> $100,000 ($USD)",Local development environments,5-10 years,Python,Used TPU,4-5 years
60-69,Male,Taiwan,Doctoral degree,Research Scientist,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$100-$999,Local development environments,10-20 years,Python,Used TPU,5-10 years
35-39,Male,China,Doctoral degree,Research Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","$10,000-$99,999",Other,10-20 years,Other,Never,10-15 years
35-39,Male,Italy,Doctoral degree,Data Scientist,Medium,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$10,000-$99,999",Cloud-based data software & APIs,10-20 years,Python,Used TPU,10-15 years
45-49,Male,Spain,Doctoral degree,Research Scientist,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","> $100,000 ($USD)",Local development environments,5-10 years,Python,Never,4-5 years
25-29,Male,Germany,Master’s degree,Software Engineer,Large,20+,No (we do not use ML methods),"20,000-24,999",$1-$99,Local development environments,1-2 years,Python,Never,< 1 years
40-44,Male,Italy,Doctoral degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,2-3 years
50-54,Male,France,Doctoral degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999",Business intelligence software,20+ years,Python,Never,20+ years
55-59,Male,Ireland,Master’s degree,Data Analyst,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","$10,000-$99,999",Business intelligence software,1-2 years,SQL,Never,1-2 years
25-29,Male,India,Master’s degree,Research Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
40-44,Male,India,Master’s degree,Data Scientist,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999",Advanced statistical software,5-10 years,R,Used TPU,4-5 years
50-54,Male,United States of America,Bachelor’s degree,Other,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$1-$99,Business intelligence software,5-10 years,Python,Never,5-10 years
25-29,Male,France,Master’s degree,Other,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",$0 (USD),Cloud-based data software & APIs,3-5 years,Python,Never,4-5 years
30-34,Female,Turkey,Doctoral degree,Research Scientist,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",$100-$999,Local development environments,3-5 years,Other,Used TPU,3-4 years
30-34,Female,Portugal,Doctoral degree,Data Scientist,Enterprise,20+,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 (USD),Local development environments,5-10 years,Python,Never,5-10 years
22-24,Male,Spain,Bachelor’s degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$1-$99,Local development environments,3-5 years,Python,Never,3-4 years
50-54,Male,Spain,Doctoral degree,Statistician,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","$1000-$9,999",Local development environments,10-20 years,R,Never,1-2 years
35-39,Male,United States of America,Doctoral degree,Data Scientist,Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","> $100,000 ($USD)",Local development environments,10-20 years,Python,Never,10-15 years
40-44,Male,Russia,Master’s degree,Data Analyst,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$0 (USD),Local development environments,3-5 years,SQL,Never,3-4 years
30-34,Male,Spain,Doctoral degree,Data Scientist,Enterprise,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$100-$999,Cloud-based data software & APIs,5-10 years,Python,Used TPU,4-5 years
40-44,Male,India,Master’s degree,Other,Enterprise,20+,We use ML methods for generating insights (but do not put working models into production),"4,000-4,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Other,Never,3-4 years
45-49,Male,Australia,Bachelor’s degree,Other,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999","> $100,000 ($USD)",Cloud-based data software & APIs,3-5 years,Python,Used TPU,2-3 years
40-44,Male,France,Master’s degree,Software Engineer,Small,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,5-10 years
30-34,Male,France,Master’s degree,Data Scientist,Small,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$1000-$9,999",Cloud-based data software & APIs,5-10 years,Python,Never,4-5 years
22-24,Male,Russia,Some college/university study without earning a bachelor’s degree,Product/Project Manager,Small,0,No (we do not use ML methods),"7,500-9,999",$0 (USD),Local development environments,1-2 years,Python,Used TPU,1-2 years
22-24,Female,India,Bachelor’s degree,Software Engineer,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999",$100-$999,Cloud-based data software & APIs,< 1 years,Other,Used TPU,< 1 years
30-34,Male,Other,Bachelor’s degree,Business Analyst,Small,0,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$100-$999,Advanced statistical software,< 1 years,R,Used TPU,< 1 years
25-29,Male,Spain,Master’s degree,Research Scientist,Large,0,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$1-$99,Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,Russia,Master’s degree,Data Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999",$0 (USD),Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
25-29,Male,Nigeria,Bachelor’s degree,Data Scientist,Large,1-2,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$0 (USD),Other,1-2 years,Python,Never,1-2 years
30-34,Male,India,Professional degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
35-39,Male,Ukraine,No formal education past high school,Data Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,2-3 years
22-24,Female,Netherlands,Master’s degree,Software Engineer,Mid-Large,10-14,I do not know,"30,000-39,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,1-2 years
25-29,Female,Other,Master’s degree,Data Analyst,Small,1-2,No (we do not use ML methods),$0-999,$100-$999,Basic statistical software,< 1 years,Python,Used TPU,< 1 years
25-29,Male,Belarus,Master’s degree,Data Scientist,Small,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
22-24,Male,Spain,Bachelor’s degree,Software Engineer,Medium,1-2,No (we do not use ML methods),"3,000-3,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,1-2 years
25-29,Male,Spain,Doctoral degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,4-5 years
35-39,Male,Russia,Bachelor’s degree,Software Engineer,Mid-Large,1-2,No (we do not use ML methods),"25,000-29,999",$0 (USD),Local development environments,5-10 years,Python,Never,5-10 years
25-29,Male,Kenya,Master’s degree,Research Scientist,Mid-Large,20+,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$0 (USD),Local development environments,3-5 years,Other,Never,1-2 years
35-39,Female,Turkey,Master’s degree,Data Scientist,Large,20+,We are exploring ML methods (and may one day put a model into production),"150,000-199,999","> $100,000 ($USD)",Local development environments,20+ years,R,Never,5-10 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Business Analyst,Enterprise,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,4-5 years
25-29,Male,South Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,1-2 years
25-29,Female,Poland,Master’s degree,Data Engineer,Mid-Large,20+,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
45-49,Male,Spain,Master’s degree,Data Scientist,Small,0,No (we do not use ML methods),"20,000-24,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
50-54,Male,Ireland,Master’s degree,Other,Mid-Large,10-14,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$0 (USD),Local development environments,1-2 years,Python,Used TPU,1-2 years
40-44,Male,Russia,Professional degree,Product/Project Manager,Enterprise,3-4,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999","$1000-$9,999",Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
25-29,Male,South Korea,Some college/university study without earning a bachelor’s degree,Business Analyst,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
22-24,Male,India,Master’s degree,Data Scientist,Medium,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",$100-$999,Basic statistical software,1-2 years,Python,Used TPU,2-3 years
30-34,Male,Hungary,Master’s degree,Other,Mid-Large,0,No (we do not use ML methods),"25,000-29,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
30-34,Female,Spain,Master’s degree,Software Engineer,Large,0,I do not know,"40,000-49,999",$0 (USD),Other,< 1 years,Python,Used TPU,1-2 years
25-29,Male,Italy,Doctoral degree,Data Scientist,Medium,0,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,India,I prefer not to answer,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$1-$99,Local development environments,3-5 years,Python,Never,2-3 years
30-34,Male,Netherlands,Doctoral degree,Data Scientist,Mid-Large,15-19,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$0 (USD),Local development environments,5-10 years,Python,Never,3-4 years
22-24,Male,Nigeria,Master’s degree,Software Engineer,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,1-2 years
25-29,Male,Nigeria,Master’s degree,Other,Enterprise,20+,I do not know,"3,000-3,999",$100-$999,Other,1-2 years,Python,Never,1-2 years
50-54,Male,Romania,Bachelor’s degree,Data Engineer,Large,20+,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,Italy,Master’s degree,Data Scientist,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Never,3-4 years
22-24,Female,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,Large,0,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$1-$99,Local development environments,3-5 years,Python,Never,3-4 years
22-24,Female,India,Bachelor’s degree,Software Engineer,Small,3-4,No (we do not use ML methods),$0-999,$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
45-49,Female,Spain,No formal education past high school,Data Scientist,Enterprise,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",Basic statistical software,5-10 years,R,Never,3-4 years
35-39,Male,Poland,Master’s degree,Data Scientist,Mid-Large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,10-20 years,Python,Never,3-4 years
25-29,Female,Russia,Master’s degree,Research Scientist,Large,0,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
35-39,Male,Indonesia,Bachelor’s degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,10-20 years,Python,Used TPU,2-3 years
30-34,Male,France,Doctoral degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",$100-$999,Local development environments,5-10 years,Python,Used TPU,3-4 years
25-29,Male,Germany,Master’s degree,Software Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",$100-$999,Local development environments,< 1 years,Python,Never,1-2 years
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
25-29,Male,Tunisia,Some college/university study without earning a bachelor’s degree,Software Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Business intelligence software,1-2 years,Python,Never,1-2 years
22-24,Male,Turkey,Master’s degree,Research Scientist,Small,1-2,No (we do not use ML methods),"3,000-3,999",$1-$99,Basic statistical software,< 1 years,Python,Never,< 1 years
40-44,Male,India,Master’s degree,Other,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Basic statistical software,< 1 years,Python,Never,< 1 years
30-34,Male,Nigeria,Master’s degree,Other,Enterprise,20+,I do not know,"1,000-1,999",$100-$999,Basic statistical software,1-2 years,Python,Never,1-2 years
25-29,Female,Poland,Master’s degree,Business Analyst,Mid-Large,5-9,No (we do not use ML methods),"15,000-19,999",$100-$999,Local development environments,1-2 years,R,Used TPU,< 1 years
22-24,Male,Viet Nam,Professional degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Basic statistical software,1-2 years,Other,Used TPU,1-2 years
35-39,Male,Spain,Doctoral degree,Software Engineer,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,3-4 years
35-39,Male,Italy,Some college/university study without earning a bachelor’s degree,Software Engineer,Medium,0,No (we do not use ML methods),"20,000-24,999",$0 (USD),Other,< 1 years,Python,Never,1-2 years
25-29,Male,France,Doctoral degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$1-$99,Local development environments,3-5 years,Python,Never,4-5 years
35-39,Male,Italy,Doctoral degree,Research Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Basic statistical software,3-5 years,Python,Never,2-3 years
22-24,Male,Nigeria,Bachelor’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Basic statistical software,< 1 years,Python,Never,< 1 years
50-54,Male,Canada,Professional degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999","$10,000-$99,999",Local development environments,3-5 years,SQL,Used TPU,4-5 years
30-34,Male,South Korea,Master’s degree,Data Scientist,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999","$1000-$9,999",Basic statistical software,5-10 years,Python,Never,1-2 years
30-34,Male,Poland,Master’s degree,Other,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Basic statistical software,3-5 years,Python,Never,2-3 years
25-29,Male,Other,Doctoral degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999","$10,000-$99,999",Local development environments,5-10 years,R,Never,5-10 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
40-44,Female,Israel,Doctoral degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$100-$999,Local development environments,5-10 years,Python,Never,3-4 years
25-29,Male,Denmark,Master’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
40-44,Male,Switzerland,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),"100,000-124,999",$0 (USD),Other,< 1 years,Python,Never,1-2 years
35-39,Male,Turkey,Doctoral degree,Other,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$0 (USD),Other,10-20 years,Other,Never,10-15 years
25-29,Male,Other,Master’s degree,Data Scientist,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Spain,Master’s degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
22-24,Male,India,Bachelor’s degree,Data Scientist,Small,0,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$0 (USD),Local development environments,< 1 years,SQL,Used TPU,< 1 years
22-24,Male,France,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,1-2 years
30-34,Male,Spain,Bachelor’s degree,Software Engineer,Mid-Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$1-$99,Other,< 1 years,Python,Never,< 1 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Product/Project Manager,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$10,000-$99,999",Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
25-29,Male,India,Bachelor’s degree,Other,Enterprise,0,No (we do not use ML methods),"5,000-7,499",$0 (USD),Other,1-2 years,Python,Never,1-2 years
25-29,Male,Spain,Master’s degree,Data Analyst,Mid-Large,3-4,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
25-29,Female,Turkey,Bachelor’s degree,Business Analyst,Mid-Large,0,I do not know,"70,000-79,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
50-54,Male,Spain,Master’s degree,Data Scientist,Large,1-2,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$0 (USD),Local development environments,5-10 years,Python,Never,3-4 years
30-34,Male,France,Master’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,3-4 years
35-39,Female,Kenya,Master’s degree,Research Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,France,Doctoral degree,Research Scientist,Small,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
25-29,Male,Pakistan,Master’s degree,Business Analyst,Small,5-9,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Nigeria,Doctoral degree,Research Scientist,Mid-Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$1-$99,Local development environments,1-2 years,Python,Used TPU,5-10 years
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,Medium,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$10,000-$99,999",Advanced statistical software,5-10 years,Python,Never,4-5 years
22-24,Male,India,Master’s degree,Data Scientist,Small,0,I do not know,$0-999,$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,Spain,Doctoral degree,Research Scientist,Large,10-14,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999","$1000-$9,999",Basic statistical software,5-10 years,Python,Never,5-10 years
25-29,Female,India,Bachelor’s degree,Business Analyst,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,2-3 years
35-39,Male,Germany,Doctoral degree,Product/Project Manager,Large,5-9,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",$100-$999,Local development environments,5-10 years,R,Never,4-5 years
25-29,Male,Other,Master’s degree,Software Engineer,Large,10-14,I do not know,"2,000-2,999",$100-$999,Basic statistical software,1-2 years,Python,Used TPU,< 1 years
30-34,Male,Germany,Master’s degree,Data Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,Other,Master’s degree,Product/Project Manager,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Mexico,Master’s degree,Research Scientist,Small,5-9,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,Other,3-5 years,Other,Never,2-3 years
55-59,Male,France,Master’s degree,Business Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$100-$999,Local development environments,1-2 years,R,Used TPU,1-2 years
40-44,Male,Other,Doctoral degree,Software Engineer,Mid-Large,0,No (we do not use ML methods),"60,000-69,999",$0 (USD),Local development environments,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Germany,Doctoral degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
30-34,Male,Netherlands,Bachelor’s degree,Data Analyst,Large,1-2,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$100-$999,Local development environments,1-2 years,SQL,Never,1-2 years
25-29,Male,France,Master’s degree,Research Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Other,5-10 years,Python,Never,4-5 years
22-24,Female,China,Master’s degree,Research Scientist,Medium,20+,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",$0 (USD),Basic statistical software,5-10 years,Python,Never,1-2 years
35-39,Male,Germany,Master’s degree,Data Scientist,Medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","> $100,000 ($USD)",Local development environments,3-5 years,Python,Used TPU,3-4 years
30-34,Female,Spain,Doctoral degree,Data Scientist,Mid-Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$10,000-$99,999",Local development environments,3-5 years,SQL,Never,3-4 years
22-24,Male,Morocco,Master’s degree,Data Analyst,Small,1-2,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$1-$99,Other,1-2 years,Python,Never,1-2 years
30-34,Male,Other,Bachelor’s degree,Other,Mid-Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","> $100,000 ($USD)",Business intelligence software,10-20 years,R,Never,4-5 years
25-29,Male,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
